TransactionID,SaleDate,CustomerID,ProductID,StoreID,CampaignID,SaleAmount,Discount percent,Payment Type
550,1/6/2024,1008,102,404,0,39.1,0.49,Check
551,1/6/2024,1009,105,403,0,19.78,0.2,Card
552,1/16/2024,1004,107,404,0,335.1,0.3,Card
553,1/16/2024,1006,102,406,0,195.5,0.4,Card
554,1/25/2024,1005,102,405,0,117.3,0.22,Cash
555,1/25/2024,1001,101,401,0,2379.36,0.1,Check
556,1/29/2024,1009,104,403,0,172.4,0.28,Card
557,1/29/2024,1010,101,402,0,3172.48,0.19,Card
558,2/6/2024,1002,102,402,0,312.8,0.39,Check
559,2/6/2024,1001,106,401,0,622.86,0.25,Check
560,2/6/2024,1010,101,402,0,6344.96,0.3,Card
561,2/6/2024,1005,107,405,0,469.14,0.45,Cash
562,2/8/2024,1003,108,403,0,12.56,0.5,Check
563,2/8/2024,1006,107,406,0,67.02,0.1,Cash
564,2/9/2024,1009,107,403,0,469.14,0.26,Card
565,2/9/2024,1002,105,402,0,138.46,0.21,Card
566,2/24/2024,1007,103,405,0,204.84,0.27,Cash
567,2/24/2024,1007,106,405,0,444.9,0.3,Cash
568,2/24/2024,1011,107,401,0,603.18,0.42,Card
569,2/24/2024,1010,101,402,0,3965.6,0.26,Check
570,2/27/2024,1010,107,402,0,402.12,0.14,Card
571,2/27/2024,1011,106,401,0,533.88,0.35,Check
572,3/20/2024,1005,105,405,0,178.02,0.41,Check
573,3/20/2024,1001,101,401,0,7138.08,0.19,Cash
574,3/25/2024,1006,101,406,0,4758.72,0.3,Cash
575,3/25/2024,1001,108,401,0,75.36,0.41,Card
576,4/7/2024,1001,108,401,0,113.04,0.29,Card
577,4/7/2024,1005,104,405,0,387.9,0.41,Check
578,4/10/2024,1006,106,406,0,800.82,0.14,Cash
579,4/10/2024,1008,106,404,0,800.82,0.36,Card
580,4/11/2024,1004,103,404,0,22.76,0.2,Check
581,4/11/2024,1009,101,403,0,793.12,0.18,Cash
582,4/19/2024,1001,101,401,0,6344.96,0.41,Card
583,4/19/2024,1009,102,403,0,312.8,0.4,Cash
584,4/27/2024,1007,101,405,0,7138.08,0.32,Cash
585,4/27/2024,1002,108,402,0,113.04,0.29,Check
586,4/30/2024,1001,105,401,0,39.56,0.4,Check
587,4/30/2024,1007,102,405,0,78.2,0.19,Check
588,5/2/2024,1002,102,402,0,117.3,0.34,Cash
589,5/2/2024,1007,102,405,0,117.3,0.14,Cash
590,5/8/2024,1005,107,405,1,603.18,0.41,Card
591,5/8/2024,1004,101,404,1,7138.08,0.16,Card
592,5/17/2024,1006,107,406,1,670.2,0.44,Check
593,5/17/2024,1008,104,404,1,431,0.49,Cash
594,5/19/2024,1003,101,403,1,1586.24,0.34,Check
595,5/19/2024,1006,108,406,1,25.12,0.24,Check
596,5/29/2024,1011,105,401,0,98.9,0.32,Check
597,5/29/2024,1008,102,404,0,195.5,0.26,Check
598,6/6/2024,1001,104,401,0,387.9,0.2,Check
599,6/6/2024,1004,102,404,0,351.9,0.33,Check
600,6/12/2024,1010,103,402,0,182.08,0.23,Card
601,6/12/2024,1005,106,405,0,711.84,0.34,Check
602,6/17/2024,1007,101,405,0,2379.36,0.41,Cash
